borough,CT,NTA
Brooklyn,3098600,BK50
Brooklyn,3098800,BK50
Brooklyn,3099000,BK50
Brooklyn,3099200,BK50
Brooklyn,3099400,BK50
Brooklyn,3099600,BK50
Brooklyn,3099800,BK50
Brooklyn,3100400,BK50
Brooklyn,3100600,BK50
Brooklyn,3100800,BK50
Brooklyn,3101000,BK50
Brooklyn,3101200,BK50
Brooklyn,3101400,BK50
Brooklyn,3101600,BK50
Brooklyn,3101800,BK50
Brooklyn,3102000,BK50
Brooklyn,3102200,BK50
Brooklyn,3102400,BK50
Brooklyn,3102600,BK50
Brooklyn,3102800,BK50
Brooklyn,3103400,BK50
Brooklyn,3004500,BK33
Brooklyn,3004700,BK33
Brooklyn,3004900,BK33
Brooklyn,3005100,BK33
Brooklyn,3005300,BK33
Brooklyn,3005900,BK33
Brooklyn,3006300,BK33
Brooklyn,3006500,BK33
Brooklyn,3006700,BK33
Brooklyn,3007500,BK33
Brooklyn,3007700,BK33
Brooklyn,3008500,BK33
Brooklyn,3019100,BK69
Brooklyn,3019300,BK69
Brooklyn,3019500,BK69
Brooklyn,3019700,BK69
Brooklyn,3019900,BK69
Brooklyn,3020100,BK69
Brooklyn,3022700,BK69
Brooklyn,3022900,BK69
Brooklyn,3023100,BK69
Brooklyn,3023500,BK69
Brooklyn,3021700,BK61
Brooklyn,3021900,BK61
Brooklyn,3022100,BK61
Brooklyn,3024700,BK61
Brooklyn,3027100,BK61
Brooklyn,3029700,BK61
Brooklyn,3029900,BK61
Brooklyn,3030500,BK61
Brooklyn,3030700,BK61
Brooklyn,3030900,BK61
Brooklyn,3031100,BK61
Brooklyn,3031300,BK61
Brooklyn,3031500,BK61
Brooklyn,3031701,BK61
Brooklyn,3031702,BK61
Brooklyn,3033700,BK61
Brooklyn,3033900,BK61
Brooklyn,3034100,BK61
Brooklyn,3034300,BK61
Brooklyn,3034500,BK61
Brooklyn,3034700,BK61
Brooklyn,3034900,BK61
Brooklyn,3035100,BK61
Brooklyn,3035300,BK61
Brooklyn,3035700,BK61
Brooklyn,3035900,BK61
Brooklyn,3038100,BK61
Brooklyn,3021300,BK63
Brooklyn,3031900,BK63
Brooklyn,3032100,BK63
Brooklyn,3032300,BK63
Brooklyn,3032500,BK63
Brooklyn,3033100,BK63
Brooklyn,3033300,BK63
Brooklyn,3033500,BK63
Brooklyn,3035500,BK63
Brooklyn,3114201,BK83
Brooklyn,3114202,BK83
Brooklyn,3114600,BK83
Brooklyn,3117201,BK83
Brooklyn,3117202,BK83
Brooklyn,3117400,BK83
Brooklyn,3117601,BK83
Brooklyn,3117602,BK83
Brooklyn,3117800,BK83
Brooklyn,3118201,BK83
Brooklyn,3118202,BK83
Brooklyn,3118400,BK83
Brooklyn,3118600,BK83
Brooklyn,3118800,BK83
Brooklyn,3119000,BK83
Brooklyn,3120200,BK83
Brooklyn,3001100,BK38
Brooklyn,3001300,BK38
Brooklyn,3001500,BK38
Brooklyn,3002100,BK38
Brooklyn,3002300,BK38
Brooklyn,3003700,BK38
Brooklyn,3003900,BK38
Brooklyn,3004100,BK38
Brooklyn,3004300,BK38
Brooklyn,3006900,BK38
Brooklyn,3007100,BK38
Brooklyn,3012700,BK38
Brooklyn,3012801,BK30
Brooklyn,3013200,BK30
Brooklyn,3014000,BK30
Brooklyn,3014800,BK30
Brooklyn,3015000,BK30
Brooklyn,3015200,BK30
Brooklyn,3016600,BK30
Brooklyn,3019400,BK30
Brooklyn,3019600,BK30
Brooklyn,3019800,BK30
Brooklyn,3020000,BK30
Brooklyn,3020200,BK30
Brooklyn,3020400,BK30
Brooklyn,3020600,BK30
Brooklyn,3020800,BK30
Brooklyn,3021000,BK30
Brooklyn,3021200,BK30
Brooklyn,3078000,BK91
Brooklyn,3078200,BK91
Brooklyn,3078400,BK91
Brooklyn,3081400,BK91
Brooklyn,3081600,BK91
Brooklyn,3083000,BK91
Brooklyn,3083200,BK91
Brooklyn,3083400,BK91
Brooklyn,3083600,BK91
Brooklyn,3083800,BK91
Brooklyn,3084000,BK91
Brooklyn,3085000,BK91
Brooklyn,3085400,BK91
Brooklyn,3085600,BK91
Brooklyn,3085800,BK91
Brooklyn,3086000,BK91
Brooklyn,3087000,BK91
Brooklyn,3087200,BK91
Brooklyn,3093200,BK91
Brooklyn,3107000,BK82
Brooklyn,3107800,BK82
Brooklyn,3109800,BK82
Brooklyn,3110400,BK82
Brooklyn,3110600,BK82
Brooklyn,3111000,BK82
Brooklyn,3111600,BK82
Brooklyn,3111800,BK82
Brooklyn,3112000,BK82
Brooklyn,3112400,BK82
Brooklyn,3115000,BK82
Brooklyn,3115200,BK82
Brooklyn,3116000,BK82
Brooklyn,3116200,BK82
Brooklyn,3116400,BK82
Brooklyn,3116600,BK82
